run_id,criterion_id,stratum,selection_probability,seed,sampling_script,condition,audit_id
run-124,T06-R06,T06|opus5|task_first,0.17857142857142858,60132,scripts/sample_audits.py,task_first,GA-0212
run-069,T03-R01,T03|sol|task_first,0.1388888888888889,60132,scripts/sample_audits.py,task_first,GA-0213
run-175,T07-R03,T07|opus5|world_first,0.3125,60132,scripts/sample_audits.py,world_first,GA-0214
run-014,T01-R06,T01|grok|task_first,0.125,60132,scripts/sample_audits.py,task_first,GA-0215
run-165,T08-R02,T08|sol|world_first,0.3125,60132,scripts/sample_audits.py,world_first,GA-0216
run-038,T02-R03,T02|grok|task_first,0.125,60132,scripts/sample_audits.py,task_first,GA-0217
run-171,T07-R05,T07|opus5|task_first,0.3125,60132,scripts/sample_audits.py,task_first,GA-0218
run-006,T01-R11,T01|opus5|task_first,0.125,60132,scripts/sample_audits.py,task_first,GA-0219
run-031,T02-R07,T02|opus5|task_first,0.125,60132,scripts/sample_audits.py,task_first,GA-0220
run-145,T08-R01,T08|opus5|world_first,0.3125,60132,scripts/sample_audits.py,world_first,GA-0221
run-119,T05-R07,T05|sol|task_first,0.1388888888888889,60132,scripts/sample_audits.py,task_first,GA-0222
run-074,T04-R08,T04|opus5|world_first,0.08928571428571429,60132,scripts/sample_audits.py,world_first,GA-0223
run-119,T05-R01,T05|sol|task_first,0.1388888888888889,60132,scripts/sample_audits.py,task_first,GA-0224
run-136,T06-R02,T06|grok|world_first,0.17857142857142858,60132,scripts/sample_audits.py,world_first,GA-0225
run-137,T06-R01,T06|sol|task_first,0.17857142857142858,60132,scripts/sample_audits.py,task_first,GA-0226
run-166,T08-R01,T08|sol|task_first,0.3125,60132,scripts/sample_audits.py,task_first,GA-0227
run-130,T06-R02,T06|grok|task_first,0.17857142857142858,60132,scripts/sample_audits.py,task_first,GA-0228
run-182,T07-R02,T07|grok|world_first,0.3125,60132,scripts/sample_audits.py,world_first,GA-0229
run-004,T01-R05,T01|opus5|task_first,0.125,60132,scripts/sample_audits.py,task_first,GA-0230
run-161,T08-R02,T08|sol|task_first,0.3125,60132,scripts/sample_audits.py,task_first,GA-0231
run-137,T06-R02,T06|sol|task_first,0.17857142857142858,60132,scripts/sample_audits.py,task_first,GA-0232
run-184,T07-R02,T07|grok|task_first,0.3125,60132,scripts/sample_audits.py,task_first,GA-0233
run-072,T03-R01,T03|sol|task_first,0.1388888888888889,60132,scripts/sample_audits.py,task_first,GA-0234
run-128,T06-R03,T06|opus5|task_first,0.17857142857142858,60132,scripts/sample_audits.py,task_first,GA-0235
run-189,T07-R05,T07|sol|world_first,0.3125,60132,scripts/sample_audits.py,world_first,GA-0236
run-043,T02-R10,T02|sol|world_first,0.125,60132,scripts/sample_audits.py,world_first,GA-0237
run-125,T06-R03,T06|opus5|task_first,0.17857142857142858,60132,scripts/sample_audits.py,task_first,GA-0238
run-083,T04-R09,T04|grok|world_first,0.08928571428571429,60132,scripts/sample_audits.py,world_first,GA-0239
run-009,T01-R02,T01|grok|world_first,0.125,60132,scripts/sample_audits.py,world_first,GA-0240
